bird_id,date_time
j7F15,2019-04-08T09:58:54Z
t3w0r,2019-04-08T09:59:03Z
j7F15,2019-04-08T09:59:14Z
j7F15,2019-04-08T09:59:15Z
t3w0r,2019-04-08T09:59:24Z
t3w0r,2019-04-08T09:59:24Z
j7F15,2019-04-08T09:59:34Z
j7F15,2019-04-08T09:59:35Z
t3w0r,2019-04-08T09:59:44Z
t3w0r,2019-04-08T09:59:44Z
j7F15,2019-04-08T09:59:55Z
j7F15,2019-04-08T09:59:56Z
t3w0r,2019-04-08T10:01:04Z
j7F15,2019-04-08T10:01:16Z
j7F15,2019-04-08T10:01:36Z
t3w0r,2019-04-08T10:01:44Z
j7F15,2019-04-08T10:01:56Z
j7F15,2019-04-08T10:02:17Z
j7F15,2019-04-08T10:02:57Z
j7F15,2019-04-08T10:03:18Z
j7F15,2019-04-08T10:03:38Z
j7F15,2019-04-08T10:03:58Z
t3w0r,2019-04-08T10:04:05Z
j7F15,2019-04-08T10:04:19Z
j7F15,2019-04-08T10:04:39Z
t3w0r,2019-04-08T10:05:05Z
t3w0r,2019-04-08T10:05:25Z
t3w0r,2019-04-08T10:05:45Z
t3w0r,2019-04-08T10:06:05Z
t3w0r,2019-04-08T10:06:25Z
t3w0r,2019-04-08T10:06:46Z
t3w0r,2019-04-08T10:07:46Z
t3w0r,2019-04-08T10:08:06Z
t3w0r,2019-04-08T10:08:46Z
j7F15,2019-04-08T10:09:03Z
t3w0r,2019-04-08T10:09:06Z
t3w0r,2019-04-08T10:09:26Z
j7F15,2019-04-08T10:10:44Z
t3w0r,2019-04-08T10:12:07Z
j7F15,2019-04-08T10:12:26Z
t3w0r,2019-04-08T10:12:27Z
t3w0r,2019-04-08T10:12:47Z
t3w0r,2019-04-08T10:13:27Z
j7F15,2019-04-08T10:13:47Z
t3w0r,2019-04-08T10:14:08Z
j7F15,2019-04-08T10:14:27Z
t3w0r,2019-04-08T10:14:28Z
t3w0r,2019-04-08T10:15:08Z
j7F15,2019-04-08T10:15:08Z
t3w0r,2019-04-08T10:15:28Z
j7F15,2019-04-08T10:15:28Z
t3w0r,2019-04-08T10:15:48Z
t3w0r,2019-04-08T10:16:08Z
j7F15,2019-04-08T10:16:09Z
t3w0r,2019-04-08T10:16:28Z
t3w0r,2019-04-08T10:16:48Z
t3w0r,2019-04-08T10:17:08Z
j7F15,2019-04-08T10:17:30Z
j7F15,2019-04-08T10:17:50Z
t3w0r,2019-04-08T10:18:09Z
j7F15,2019-04-08T10:18:11Z
t3w0r,2019-04-08T10:18:49Z
j7F15,2019-04-08T10:18:51Z
t3w0r,2019-04-08T10:19:09Z
j7F15,2019-04-08T10:19:11Z
t3w0r,2019-04-08T10:19:29Z
j7F15,2019-04-08T10:19:32Z
t3w0r,2019-04-08T10:19:49Z
j7F15,2019-04-08T10:19:52Z
t3w0r,2019-04-08T10:20:09Z
j7F15,2019-04-08T10:20:12Z
t3w0r,2019-04-08T10:20:29Z
j7F15,2019-04-08T10:20:33Z
t3w0r,2019-04-08T10:20:49Z
j7F15,2019-04-08T10:20:53Z
j7F15,2019-04-08T10:21:13Z
j7F15,2019-04-08T10:21:33Z
j7F15,2019-04-08T10:21:54Z
j7F15,2019-04-08T10:22:14Z
t3w0r,2019-04-08T10:22:50Z
t3w0r,2019-04-08T10:23:10Z
j7F15,2019-04-08T10:23:15Z
t3w0r,2019-04-08T10:23:30Z
j7F15,2019-04-08T10:23:35Z
t3w0r,2019-04-08T10:25:31Z
bvGx3,2019-04-08T10:25:34Z
bvGx3,2019-04-08T10:25:54Z
t3w0r,2019-04-08T10:26:11Z
bvGx3,2019-04-08T10:26:14Z
t3w0r,2019-04-08T10:26:31Z
bvGx3,2019-04-08T10:26:33Z
bvGx3,2019-04-08T10:26:53Z
t3w0r,2019-04-08T10:27:11Z
bvGx3,2019-04-08T10:27:13Z
t3w0r,2019-04-08T10:27:31Z
bvGx3,2019-04-08T10:27:33Z
t3w0r,2019-04-08T10:27:51Z
bvGx3,2019-04-08T10:27:53Z
t3w0r,2019-04-08T10:28:12Z
bvGx3,2019-04-08T10:28:13Z
t3w0r,2019-04-08T10:28:32Z
bvGx3,2019-04-08T10:28:33Z
t3w0r,2019-04-08T10:28:52Z
bvGx3,2019-04-08T10:28:53Z
t3w0r,2019-04-08T10:29:12Z
bvGx3,2019-04-08T10:29:13Z
t3w0r,2019-04-08T10:29:32Z
bvGx3,2019-04-08T10:29:33Z
bvGx3,2019-04-08T10:29:52Z
t3w0r,2019-04-08T10:30:12Z
bvGx3,2019-04-08T10:30:12Z
t3w0r,2019-04-08T10:30:32Z
bvGx3,2019-04-08T10:30:32Z
t3w0r,2019-04-08T10:30:52Z
bvGx3,2019-04-08T10:30:52Z
t3w0r,2019-04-08T10:31:12Z
bvGx3,2019-04-08T10:31:12Z
t3w0r,2019-04-08T10:31:32Z
bvGx3,2019-04-08T10:31:32Z
bvGx3,2019-04-08T10:31:52Z
t3w0r,2019-04-08T10:31:53Z
bvGx3,2019-04-08T10:32:12Z
t3w0r,2019-04-08T10:32:13Z
bvGx3,2019-04-08T10:32:32Z
t3w0r,2019-04-08T10:32:33Z
j7F15,2019-04-08T10:32:43Z
bvGx3,2019-04-08T10:32:51Z
t3w0r,2019-04-08T10:32:53Z
bvGx3,2019-04-08T10:33:11Z
bvGx3,2019-04-08T10:33:31Z
j7F15,2019-04-08T10:33:44Z
bvGx3,2019-04-08T10:33:51Z
t3w0r,2019-04-08T10:33:53Z
t3w0r,2019-04-08T10:34:13Z
t3w0r,2019-04-08T10:34:33Z
bvGx3,2019-04-08T10:34:51Z
t3w0r,2019-04-08T10:34:53Z
t3w0r,2019-04-08T10:35:13Z
j7F15,2019-04-08T10:35:26Z
t3w0r,2019-04-08T10:35:34Z
j7F15,2019-04-08T10:35:46Z
j7F15,2019-04-08T10:36:06Z
t3w0r,2019-04-08T10:36:14Z
j7F15,2019-04-08T10:36:26Z
t3w0r,2019-04-08T10:36:34Z
f5NV7,2019-04-08T10:36:39Z
t3w0r,2019-04-08T10:36:54Z
t3w0r,2019-04-08T10:37:14Z
t3w0r,2019-04-08T10:37:34Z
f5NV7,2019-04-08T10:37:39Z
t3w0r,2019-04-08T10:37:54Z
f5NV7,2019-04-08T10:37:59Z
f5NV7,2019-04-08T10:38:19Z
t3w0r,2019-04-08T10:38:34Z
t3w0r,2019-04-08T10:38:54Z
t3w0r,2019-04-08T10:39:15Z
t3w0r,2019-04-08T10:39:35Z
f5NV7,2019-04-08T10:39:59Z
t3w0r,2019-04-08T10:40:15Z
f5NV7,2019-04-08T10:40:59Z
j7F15,2019-04-08T10:41:10Z
j7F15,2019-04-08T10:41:31Z
f5NV7,2019-04-08T10:42:59Z
t3w0r,2019-04-08T10:43:16Z
f5NV7,2019-04-08T10:43:19Z
f5NV7,2019-04-08T10:43:39Z
t3w0r,2019-04-08T10:43:56Z
t3w0r,2019-04-08T10:44:16Z
f5NV7,2019-04-08T10:44:19Z
t3w0r,2019-04-08T10:44:56Z
f5NV7,2019-04-08T10:45:39Z
f5NV7,2019-04-08T10:45:59Z
t3w0r,2019-04-08T10:46:17Z
j7F15,2019-04-08T10:46:55Z
bvGx3,2019-04-08T10:47:27Z
bvGx3,2019-04-08T10:47:47Z
j7F15,2019-04-08T10:47:56Z
f5NV7,2019-04-08T10:47:59Z
bvGx3,2019-04-08T10:48:07Z
bvGx3,2019-04-08T10:48:27Z
j7F15,2019-04-08T10:48:37Z
bvGx3,2019-04-08T10:48:46Z
bvGx3,2019-04-08T10:49:06Z
j7F15,2019-04-08T10:49:18Z
bvGx3,2019-04-08T10:49:26Z
j7F15,2019-04-08T10:49:38Z
bvGx3,2019-04-08T10:49:46Z
j7F15,2019-04-08T10:49:58Z
t3w0r,2019-04-08T10:50:18Z
j7F15,2019-04-08T10:50:18Z
f5NV7,2019-04-08T10:50:19Z
j7F15,2019-04-08T10:50:39Z
f5NV7,2019-04-08T10:50:39Z
j7F15,2019-04-08T10:50:59Z
j7F15,2019-04-08T10:51:19Z
j7F15,2019-04-08T10:51:40Z
t3w0r,2019-04-08T10:51:58Z
j7F15,2019-04-08T10:51:59Z
f5NV7,2019-04-08T10:52:19Z
j7F15,2019-04-08T10:52:20Z
f5NV7,2019-04-08T10:52:39Z
j7F15,2019-04-08T10:52:40Z
f5NV7,2019-04-08T10:52:59Z
j7F15,2019-04-08T10:53:01Z
f5NV7,2019-04-08T10:53:19Z
j7F15,2019-04-08T10:53:21Z
j7F15,2019-04-08T10:53:41Z
j7F15,2019-04-08T10:54:02Z
j7F15,2019-04-08T10:54:22Z
j7F15,2019-04-08T10:54:42Z
j7F15,2019-04-08T10:55:23Z
j7F15,2019-04-08T10:55:43Z
j7F15,2019-04-08T10:56:03Z
